id,code,name,parentid,parentcode,parentname
5a42ed6e527d3d240b8140d4,IAB3,Business,,,
5a42ed6e527d3d240b8140d5,IAB2,Automotive,,,
5a42ed6e527d3d240b8140d6,IAB1,Arts & Entertainment,,,
5a42ed6e527d3d240b8140d7,IAB4,Careers,,,
5a42ed6e527d3d240b8140d8,IAB5,Education,,,
5a42ed6e527d3d240b8140d9,IAB6,Family & Parenting,,,
5a42ed6e527d3d240b8140da,IAB7,Health & Fitness,,,
5a42ed6e527d3d240b8140db,IAB8,Food & Drink,,,
5a42ed6e527d3d240b8140dc,IAB9,Hobbies & Interests,,,
5a42ed6e527d3d240b8140dd,IAB10,Home & Garden,,,
5a42ed6e527d3d240b8140de,IAB11,"Law, Govt & Politics",,,
5a42ed6e527d3d240b8140df,IAB14,Culture,,,
5a42ed6e527d3d240b8140e0,IAB15,Science,,,
5a42ed6e527d3d240b8140e1,IAB16,Pets,,,
5a42ed6e527d3d240b8140e2,IAB17,Sports,,,
5a42ed6e527d3d240b8140e3,IAB18,Style & Fashion,,,
5a42ed6e527d3d240b8140e4,IAB19,Technology,,,
5a42ed6e527d3d240b8140e5,IAB20,Travel,,,
5a42ed6e527d3d240b8140e6,IAB13,Personal Finance,,,
5a42ed6e527d3d240b8140e7,IAB21,Real Estate,,,
5a42ed6e527d3d240b8140e8,IAB22,Shopping,,,
5a42ed6e527d3d240b8140e9,IAB23,Religion & Spirituality,,,
5a42ed6e527d3d240b8140ea,IAB12,News,,,
5a4468486f7af13a5a457c17,IAB3-2,Agriculture,5a42ed6e527d3d240b8140d4,IAB3,Business
5a4468486f7af13a5a457c18,IAB3-3,Biotech/Biomedical,5a42ed6e527d3d240b8140d4,IAB3,Business
5a4468486f7af13a5a457c19,IAB3-5,Construction,5a42ed6e527d3d240b8140d4,IAB3,Business
5a4468486f7af13a5a457c1a,IAB3-6,Forestry,5a42ed6e527d3d240b8140d4,IAB3,Business
5a4468486f7af13a5a457c1b,IAB3-7,Government,5a42ed6e527d3d240b8140d4,IAB3,Business
5a4468486f7af13a5a457c1c,IAB3-9,Human Resources,5a42ed6e527d3d240b8140d4,IAB3,Business
5a4468486f7af13a5a457c1d,IAB3-8,Green Solutions,5a42ed6e527d3d240b8140d4,IAB3,Business
5a4468486f7af13a5a457c1e,IAB3-10,Logistics,5a42ed6e527d3d240b8140d4,IAB3,Business
5a4468486f7af13a5a457c1f,IAB3-11,Marketing,5a42ed6e527d3d240b8140d4,IAB3,Business
5a4468486f7af13a5a457c20,IAB3-12,Metals,5a42ed6e527d3d240b8140d4,IAB3,Business
5a4468486f7af13a5a457c21,IAB3-1,Advertising,5a42ed6e527d3d240b8140d4,IAB3,Business
5a4468486f7af13a5a457c22,IAB14-1,Dating,5a42ed6e527d3d240b8140df,IAB14,Society
5a4468486f7af13a5a457c23,IAB14-2,Divorce Support,5a42ed6e527d3d240b8140df,IAB14,Society
