id,author,keywords,provider,pubDate,subcategoryid,subcategorycode,subcategoryname,subcategory.slug,title,topic,url
5a48df90670c7645a286b3bb,Katie Roof,"Apps, App, Video, done, 8fit, techcrunch, TC",techcrunch,1.5147E+12,5a4468486f7af13a5a457c60,IAB19-67,Mobile,mobile,These apps will help you keep your New Year‰Ûªs resolutions,All,http://feedproxy.google.com/~r/Techcrunch/~3/HjDR70okdQA/
5a48df90670c7645a286b3bc,Ron Miller,"Cloud, Enterprise, Year End 2017, hyperscale data centers",techcrunch,1.51467E+12,5a4468486f7af13a5a457c2d,IAB19-11,Data Centers,Data_Centers,Hyperscale data centers reached over 390 worldwide in 2017,All,http://feedproxy.google.com/~r/Techcrunch/~3/28bWdjRNxyU/
5a48df90670c7645a286b3c4,Brian Heater,"Hardware, Mobile, Apple, iPhone, battery",techcrunch,1.51465E+12,5a4468486f7af13a5a457c6d,IAB19-74,Apple,apple,Apple‰Ûªs $29 iPhone battery replacements are available starting today,All,http://feedproxy.google.com/~r/Techcrunch/~3/wEyXE8ziK_0/
5a48e16f670c7645a286b40c,Jon Fingas,"games, gaming, gear, internet, ios, ipad, iphone, microsoft, mobile, partychat, videogames, xbox, xboxlive, xboxone",Engadget,1.51465E+12,5a4468486f7af13a5a457c67,IAB19-68,Gaming,gaming,Xbox party chat arrives on iOS in beta,Technology,https://www.engadget.com/2017/12/30/xbox-party-chat-ios-beta/
5a48e16f670c7645a286b40d,Jon Fingas,"apple, battery, gear, iphone, iphone6, iphone6plus, iphone6s, iphone6splus, mobile, smartphone",Engadget,1.51466E+12,5a4468486f7af13a5a457c6d,IAB19-74,Apple,apple,Apple's $29 iPhone battery replacements are available a month early,Technology,https://www.engadget.com/2017/12/30/apple-29-iphone-battery-replacements-already-available/
5a48e16f670c7645a286b40e,Jon Fingas,"censorship, chat, free speech, gear, internet, iran, messaging, politics, protest, telegram",Engadget,1.51468E+12,5a4b39e40978e16b1b883b98,IAB12-10,Technology News,technology_news,Telegram suspends channel for encouraging violent Iran protests,Technology,https://www.engadget.com/2017/12/30/telegram-suspends-channel-over-violent-iran-protests/
5a48e16f670c7645a286b40f,Jon Fingas,"crime, distracted driving, florida, gear, government, law, mobile, politics, texting while driving, transportation",Engadget,1.51467E+12,5a44d8eb527d3d3ad9df95ba,IAB12-2,US News,us_news,Florida may finally implement full ban on texting while driving,Technology,https://www.engadget.com/2017/12/30/florida-may-treat-texting-while-driving-as-offense/
5a48e16f670c7645a286b410,Jon Fingas,"anthony weiner, department of state, email, foia, freedom of information act, gear, hillary clinton, humaabedin, internet, judicial watch, politics",Engadget,1.51466E+12,5a44d8eb527d3d3ad9df95ba,IAB12-2,US News,us_news,State Department releases emails from Clinton aide Huma Abedin,Technology,https://www.engadget.com/2017/12/30/state-department-releases-huma-abedin-emails/
5a48e16f670c7645a286b414,element14,"atari, atari dragster, av, ben heck, ben heck show, diy, do it yourself, do it yourself, element14, gaming, gear, partner, syndicated, the ben heck show, video",Engadget,1.51472E+12,5a4468486f7af13a5a457c67,IAB19-68,Gaming,gaming,Ben Heck's Atari Dragster: Testing the world record,Technology,https://www.engadget.com/2017/12/31/ben-hecks-atari-dragster-testing-the-world-record/
5a4a32ef670c7645a286b5f5,Jon Fingas,"aircraft, f-35, f-35b, fighter, gear, jet, lockheed martin, marines, military, stovl, transportation, usmc, wargadget",Engadget,1.5148E+12,5a4b51510978e16b1b883bb4,IAB19-86,AeroSpace,aerospace,F-35 may see combat in 2018,Technology,https://www.engadget.com/2018/01/01/f-35-may-see-combat-in-2018/
